autoID,SeniorCity,Partner,Dependents,Service1,Service2,Security,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,Charges,Demand,Class
4636-QRJKY,0,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.5,502.85,Betha
1135-LMECX,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85,19.85,Alpha
4332-MUOEZ,1,Yes,Yes,Yes,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),94.3,1818.3,Alpha
8535-SFUTN,0,No,No,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,106.45,6300.15,Alpha
5956-VKDTT,1,Yes,No,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.35,334.8,Betha
8677-HDZEE,0,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),105.45,5916.95,Alpha
2475-MROZF,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95,2852.4,Alpha
9412-GHEEC,0,No,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),104.8,4131.95,Betha
3482-ABPKK,0,No,No,Yes,No,Yes,No,No,Yes,One year,No,Mailed check,54.3,1546.3,Alpha
6705-LXORM,1,Yes,No,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,70.05,302.6,Alpha
0257-ZESQC,1,Yes,No,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.2,1929.35,Betha
7531-GQHME,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.05,265.45,Alpha
5174-ITUMV,0,Yes,Yes,Yes,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,105.4,6989.45,Alpha
4109-CYRBD,1,Yes,No,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,51.6,1442,Alpha
0913-XWSCN,0,Yes,Yes,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),85.5,4713.4,Alpha
6825-UYPFK,0,No,No,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),75.6,1758.6,Betha
8397-MVTAZ,0,Yes,No,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,100.05,3480,Betha
0750-EBAIU,0,No,No,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,91.25,4738.3,Alpha
8606-CIQUL,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),115.75,8399.15,Alpha
3571-DPYUH,0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),94.7,5430.35,Alpha
7601-GNDYK,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.6,686.95,Alpha
0356-OBMAC,1,No,No,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),99.9,5706.3,Alpha
8067-NIOYM,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),21.1,490.65,Alpha
1403-GYAFU,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.05,1360.25,Alpha
4234-XTNEA,0,No,No,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,79.95,174.45,Alpha
1297-VQDRP,1,Yes,Yes,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),107.15,7379.8,Alpha
9282-IZGQK,0,No,No,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,85,85,Betha
5348-CAGXB,0,No,No,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,89.55,1021.75,Alpha
0621-HJWXJ,0,Yes,No,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),81.55,5029.05,Alpha
5844-QVTAT,0,Yes,Yes,Yes,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,58.45,1955.4,Alpha
8905-IAZPF,0,Yes,No,Yes,No,No,Yes,No,No,One year,Yes,Credit card (automatic),95.65,6744.2,Alpha
5394-MEITZ,0,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),80.6,4946.7,Alpha
6859-QNXIQ,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),113.1,8248.5,Alpha
2782-LFZVW,0,No,No,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,58.95,601.6,Alpha
2866-IKBTM,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.55,19.55,Alpha
1342-JPNKI,0,No,No,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),86.05,834.1,Betha
2817-NTQDO,0,No,No,No,No phone service,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),45.55,597,Betha
7129-AZJDE,0,Yes,Yes,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),78.95,2647.2,Alpha
6986-IJDHX,0,Yes,Yes,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,86.3,3266,Betha
2560-PPCHE,0,No,No,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),105.05,6744.25,Alpha
4676-MQUEA,1,Yes,No,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),101.9,5265.5,Alpha
8138-EALND,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.75,311.6,Alpha
3580-HYCSP,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),110.3,7966.9,Alpha
1352-HNSAW,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),115.6,8220.4,Alpha
2075-PUEPR,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.35,1153.25,Alpha
1982-FEBTD,0,Yes,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.6,514.75,Alpha
5301-GAUUY,0,No,No,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),80.35,2596.15,Betha
5791-KAJFD,0,Yes,Yes,Yes,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),68.75,3808,Alpha
2654-VBVPB,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.9,19.9,Alpha
1154-HYWWO,0,No,No,Yes,No,Yes,Yes,No,Yes,One year,No,Mailed check,70.6,2708.2,Alpha
2501-XWWTZ,0,No,No,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,70.2,760.05,Alpha
3716-UVSPD,0,No,No,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,49.3,49.3,Alpha
6815-ABQFQ,0,Yes,No,Yes,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,107.25,6033.3,Alpha
7343-EOBEU,0,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.6,89.05,Alpha
3701-SFMUH,0,Yes,Yes,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),69.7,516.15,Alpha
6103-LIANB,0,Yes,Yes,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),99.5,5861.75,Alpha
7319-VENRZ,0,No,No,Yes,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),64.3,445.95,Alpha
5846-NEQVZ,0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),70.85,4973.4,Alpha
6967-QIQRV,0,Yes,Yes,Yes,No,Yes,No,No,Yes,One year,No,Electronic check,101.9,1667.25,Alpha
5781-RFZRP,0,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),73.5,5357.75,Alpha
0939-YAPAF,0,No,No,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,100.25,3527.6,Betha
0308-IVGOK,0,No,No,No,No phone service,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),40.4,422.6,Alpha
7293-LSCDV,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.25,1103.25,Alpha
7025-WCBNE,1,No,No,Yes,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),59.6,2754,Alpha
5756-JYOJT,0,No,No,Yes,No,No,No,Yes,Yes,One year,No,Credit card (automatic),64.9,697.25,Alpha
4710-FDUIZ,0,Yes,No,Yes,Yes,No,Yes,No,No,One year,No,Credit card (automatic),100.3,5614.45,Betha
6030-REHUX,1,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.85,3204.4,Alpha
9548-LIGTA,0,Yes,No,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Mailed check,81.05,4747.65,Alpha
5150-LJNSR,0,Yes,Yes,Yes,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),98.05,3082.1,Alpha
8270-RKSAP,0,No,No,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.5,597.9,Alpha
6522-YRBXD,1,Yes,No,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,94.55,3365.4,Alpha
2640-LYMOV,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.65,38.8,Alpha
1218-VKFPE,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19,233.55,Betha
3627-FHKBK,0,No,No,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,75.3,75.3,Betha
2865-TCHJW,1,No,No,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,89.2,346.2,Betha
1423-BMPBQ,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19,19,Alpha
2393-DIVAI,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20,61.7,Alpha
5192-EBGOV,1,No,No,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,85.7,85.7,Betha
4568-KNYWR,0,No,No,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),63.25,3342.45,Alpha
8752-IMQOS,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.1,85.1,Alpha
0742-LAFQK,0,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,99.15,7422.1,Alpha
0795-LAFGP,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,90.4,6668.05,Alpha
0619-OLYUR,0,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),111.9,8071.05,Alpha
5512-IDZEI,0,Yes,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,24.9,1174.8,Alpha
0459-SPZHJ,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),83.5,5435,Alpha
0215-BQKGS,0,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),84.3,2438.6,Alpha
9244-ZVAPM,0,No,No,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,45.6,45.6,Alpha
0719-SYFRB,0,No,No,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,61.65,713.75,Betha
8208-EUMTE,0,No,No,No,No phone service,Yes,Yes,Yes,Yes,Two year,No,Mailed check,54.85,916.15,Alpha
5172-MIGPM,0,No,No,Yes,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,65.55,237.2,Alpha
1710-RCXUS,0,Yes,No,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),90.35,4614.55,Alpha
0374-FIUCA,0,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),20.4,1414.45,Alpha
5839-SUYVZ,0,No,No,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),74.55,1170.5,Alpha
5173-ZXXXL,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.95,47.7,Alpha
1096-ADRUX,0,Yes,Yes,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),74.25,4859.25,Alpha
2001-MCUUW,0,No,No,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,108.65,4903.2,Alpha
2731-GJRDG,0,No,No,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),109.55,3608,Alpha
4723-BEGSG,0,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),86.65,6094.25,Alpha
6516-NKQBO,0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),81,3084.9,Alpha
8672-OAUPW,0,No,Yes,Yes,No,No,No,No,Yes,One year,No,Credit card (automatic),47.85,2356.75,Alpha
8207-DMRVL,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),114.55,8306.05,Alpha
3419-SNJJD,1,Yes,No,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),105.25,6786.4,Betha
6543-CPZMK,0,Yes,Yes,No,No phone service,No,Yes,No,No,Month-to-month,Yes,Electronic check,29.95,248.95,Betha
4765-OXPPD,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,65,663.05,Betha
2804-ETQDK,0,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.55,1357.1,Alpha
6689-VRRTK,1,No,No,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),109.8,4860.35,Alpha
7138-GIRSH,0,No,No,Yes,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),69.5,3418.2,Alpha
9396-ZSFLL,0,No,No,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,48.85,631.4,Alpha
6464-KEXXH,0,No,No,No,No phone service,No,No,No,No,Month-to-month,Yes,Credit card (automatic),25.25,186.3,Alpha
7134-MJPDY,1,No,No,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),102.85,6976.75,Alpha
5240-CAOYT,0,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),87.55,4884.85,Alpha
4059-IIEBK,0,No,No,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),78.55,522.95,Alpha
4881-JVQOD,1,Yes,Yes,No,No phone service,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),34.55,362.6,Alpha
0516-UXRMT,0,No,No,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,92.05,5755.8,Alpha
4851-BQDNX,0,Yes,Yes,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,85.05,3355.65,Alpha
5148-HKFIR,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.7,406.95,Alpha
1009-IRMNA,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20,137.6,Betha
3003-CMDUU,0,Yes,No,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,95.15,2395.7,Alpha
5016-IBERQ,0,Yes,No,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,84.25,1968.1,Alpha
6797-UCJHZ,1,Yes,No,Yes,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),104.6,6819.45,Alpha
2469-DTSGX,1,No,No,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,111.65,7943.45,Alpha
4554-YGZIH,1,Yes,No,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),90.05,4547.25,Betha
5099-BAILX,1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),110.75,4687.9,Betha
9931-KGHOA,0,Yes,No,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),55,2473.95,Alpha
1775-KWJKQ,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.85,6562.9,Alpha
7665-VIGUD,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.35,176.3,Alpha
9411-TPQQV,0,No,No,No,No phone service,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),54.55,2236.2,Alpha
7207-RMRDB,0,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,105.5,6985.65,Betha
7954-MLBUN,0,No,No,Yes,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),99.45,3109.9,Alpha
2077-DDHJK,0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),70.9,4911.35,Alpha
4913-EHYUI,1,Yes,Yes,Yes,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),104.55,5794.65,Betha
0195-IESCP,0,Yes,No,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,85.25,855.3,Betha
9574-BOSMD,0,Yes,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.4,1620.2,Alpha
4580-TMHJU,0,Yes,Yes,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,56.15,2499.3,Betha
0970-ETWGE,0,No,No,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,89.55,89.55,Betha
4908-XAXAY,1,No,No,Yes,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),89.85,4287.2,Alpha
8404-VLQFB,0,Yes,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.25,394.85,Alpha
1626-ERCMM,1,Yes,No,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,94.55,1899.65,Betha
0887-HJGAR,0,No,No,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.7,45.7,Betha
2391-IPLOP,0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,69.65,3442.15,Alpha
5644-PDMZC,1,No,No,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,89.5,161.5,Betha
3509-GWQGF,1,No,No,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),70,1732.6,Alpha
9576-ANLXO,0,No,No,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.55,222.3,Betha
2024-BASKD,0,No,No,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,74.6,74.6,Betha
5845-BZZIB,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.1,655.3,Alpha
1140-UKVZG,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.8,475.25,Alpha
4160-AMJTL,1,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.65,164.3,Betha
5183-SNMJQ,0,No,No,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),95.1,865.1,Alpha
8100-PNJMH,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),88.85,6132.7,Alpha
7838-LAZFO,0,Yes,No,Yes,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),78.8,3597.5,Alpha
4464-JCOLN,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.85,35.9,Betha
2085-JVGAD,0,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.35,697.65,Alpha
5650-VDUDS,0,No,No,No,No phone service,No,No,No,No,Month-to-month,Yes,Mailed check,24.25,96.05,Betha
8095-WANWK,0,No,No,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,45.25,428.7,Alpha
3030-ZKIWL,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.05,20.05,Alpha
9565-FLVCG,0,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Mailed check,69.55,4459.15,Alpha
8755-OGKNA,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.5,1167.6,Alpha
2800-VEQXM,0,No,No,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,74.75,238.1,Alpha
7538-GWHML,0,No,No,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,69.65,145.15,Betha
5533-RJFTJ,0,No,No,No,No phone service,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),30.2,1453.1,Alpha
3859-CVCET,0,No,No,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,45.65,191.05,Betha
0214-JHPFW,0,Yes,No,No,No phone service,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),57.8,4039.3,Alpha
5642-MHDQT,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.85,1039.45,Alpha
3088-FVYWK,0,Yes,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.55,1336.1,Alpha
3276-HDUEG,0,No,No,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,75.05,75.05,Betha
9092-GDZKO,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.85,493.4,Alpha
0823-HSCDJ,1,No,No,No,No phone service,No,Yes,No,No,Month-to-month,Yes,Electronic check,49.15,2550.9,Betha
3729-OWRVL,1,No,No,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,110.35,7246.15,Alpha
2324-AALNO,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),24.55,1203.95,Alpha
0822-GAVAP,0,No,No,No,No phone service,No,No,No,No,Month-to-month,Yes,Electronic check,34.7,62.25,Betha
5760-IFJOZ,0,No,No,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,107.95,313.6,Alpha
2826-UWHIS,0,Yes,No,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),81.4,3775.85,Alpha
1448-PWKYE,0,Yes,Yes,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,80,80,Betha
7501-IWUNG,0,Yes,Yes,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),73.8,4616.05,Alpha
4957-TREIR,0,No,No,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),64.4,195.65,Alpha
7251-LJBQN,1,No,No,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),103.75,4188.4,Alpha
8040-MNRTF,0,No,No,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,71.1,71.1,Alpha
1536-HBSWP,0,No,No,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,49.9,49.9,Alpha
5313-FPXWG,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),24.6,1266.4,Alpha
0067-DKWBL,1,No,No,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,49.25,91.1,Betha
0946-FKYTX,0,No,No,No,No phone service,No,Yes,No,No,One year,No,Mailed check,30.1,1623.4,Alpha
5076-YVXCM,0,No,No,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),83.4,4149.45,Alpha
8262-COGGB,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.45,20.45,Alpha
6663-JOCQO,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.25,2344.5,Alpha
9620-QJREV,0,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.55,1013.05,Alpha
2276-YDAVZ,0,No,No,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.1,270.7,Betha
2682-KEVRP,1,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.05,417,Alpha
2480-JZOSN,0,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.65,20.65,Alpha
0078-XZMHT,0,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),85.15,6316.2,Alpha
5896-NPFWW,0,Yes,Yes,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,50.15,168.15,Betha
9978-HYCIN,1,Yes,Yes,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),84.95,4018.05,Alpha
8338-QIUNR,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),66.5,4811.6,Alpha
1525-LNLOJ,0,Yes,Yes,Yes,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),63.3,4189.7,Alpha
9450-TRJUU,0,No,No,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,83.15,2848.45,Alpha
1766-GKNMI,0,No,No,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,84.9,2516.2,Alpha
6942-LBFDP,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.55,33.6,Alpha
1456-TWCGB,0,No,No,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.25,208.45,Alpha
7133-VBDCG,0,No,No,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),79.85,2015.35,Betha
7596-ZYWBB,0,No,No,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Mailed check,59.6,3739.8,Alpha
8329-UTMVM,1,No,No,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),104.65,2964,Alpha
3014-WJKSM,0,Yes,No,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),75.3,2263.4,Alpha
3347-YJZZE,0,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),80.1,2211.8,Alpha
1029-QFBEN,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.55,19.55,Betha
7929-DMBCV,0,Yes,No,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,81,1683.7,Alpha
9661-JALZV,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24.7,1519,Alpha
5433-KYGHE,0,No,Yes,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,86,1164.05,Alpha
4312-KFRXN,0,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.4,1710.9,Alpha
5575-TPIZQ,0,No,No,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),89.15,4245.55,Alpha
